,,Customer,,Main Phone,,Address,
,,Akelco (Electric Coop.),,5600 (036) 275-8327,,"Quezon Venue, Kalibo, Aklan",
,,Aselco (Electric Coop.),,(085) 343-8456,," San Francisco, Agusan del Sur Tel",
,,Asuncion (Water District),,0917-328-4976 Accntg,,"Asuncion Water District Minicipal Economic Enterprise Bldg., Purok 3,Cambanogoy, Asuncion, Davao del Norte",
,,Baliwag (Water District),,(044) 766-2618,,"Baliwag Water District BWD Bldg.Tomacruz St.,Poblacion, Baliwag, Bulacan ",
,,Bansalan (Water District),,(082) 553-9228,,"Bansalan Water District 1535 R. De los Cientos St., Bansalan, Davao del Sur ",
,,Baselco (Electric Coop.),,Tel:(062) 200-7907 Fax:(062) 200-7905,,"7300 Lazaro Dr, Isabela City, Basilan ",
,,Bayugan (Water District),,0920-564-1445,," Lanzones St. Poblacion, Bayugan City Agusan del sur",
,,Buseco (Electric Coop.),,(088) 356-1026| (088) 85224,," Sayre Hwy, Manolo Fortich, Bukidnon ",
,,Cagelco 1 (Electric Coop.),,Tel No. (078) 844-1595 Fax No. (078) 844 - 4528,," Maddarulug, Solana,Cagayan ",
,,Cagelco II (Electric Coop.),,(078) 888 2173,,"Maharlika Highway, Macanaya District, Apa",
,,Camelco (Electric Coop.),,09354591834,," Mambajao, Camiguin",
,,"Cebu III Electric Cooperative,Inc.",,09176244406,," Toledo City, Cebu",
,,Cotelco (Electric Coop.),,Tel:(064) 288-5264,," Matalam, North Cotabato",
,,Cotelcoppalma - B&C (Electric Coop.),,(064) 229-8500,," Midsayap, North Cotabato",
,,Cotelcoppalma - MRR (Electric Coop.),,(064) 229 - 8500  Tel(064) 431-7623,,"COTELCOPPALMA-MRR Pigkawayan, North Cotabato",
,,Daneco (Electric Coop.),,(084) 655 0441,,"KM 100 National H-way Montevista, Compostela Valley",
,,Daneco (Events),,(082) 553 2643,,"Davao del Sur Electric Coop., Inc. By-Pass Road, Digos City, 8002 Davao del Sur ",
,,Dasureco (Electric Coop.),, 272-7777,," By-Pass Road, Digos City, Davao del Sur",
,,DIGOS (Water District),,Tel:(082) 553- 2111 Fax:(082) 553-8742,," Rizal Avenue, Digos City ",
,,Digos Water District (Sol.OTC),,(082) 553 - 2111,,"Rizal Avenue, Digos City  Digos City ",
,,DORECO (Electric Coop.),,Tel:(087) 388-3127,," Mati, Davao Oriental",
,,Fibeco (Electric Coop.),,0977-804-1181 - FM Fax:(088) 356-1025,,"Anahawon, Maramag Bukidnon ",
,,Hagonoy (Water District),,0946-822-9667 GM,," Guihing, Hagonoy, Davao del Sur",
,,Igacos (Water District),,0908-994-3651,,"Island Garden City of Samal, davao del Norte",
,,Iselco I (Electric Coop.),,09783051876,," Victoria, Alicia, Isabela",
,,Iselco II (Electric Coop),,09569946944,,"Alibagu, AH26, Ilagan, 3300 Isabela",
,,Kabacan (Water District),,Tel:(064)248-2074,," Rizal Avenue,Poblacion Kabacan Cotabato",
,,Leyeco II (Electric Coop.),,Tel:(053) 321-1492,," Real St.,Sagkahan District, Tacloban City ",
,,Leyeco III (Electric Coop.),,Tel:(053) 323-1265,,"Tunga, Leyte",
,,Leyte Metropolitan (Water District),,Tel:(053) 325-8009,,"Pan-Philippine Hway Motorpool Compound, Tacloban, Leyte",
,,Lianga (Water District),,Phone: (086) 616 0020,,"Mabini Street, Lianga, Surigao del Sur",
,,Maramag (Water District),,"0906-56190041 Ma'am Zenia Tel:(088), Fax:(088) 238-5409 238-5408",," T. Curuna St., Maramag Bukidnon",
,,Metro Midsayap (Water District),,(064) 229-8215,,"007 Poblacion 8, Midsayap, 9416, North Cotabato",
,,Mlang (Water District),,(064) 572-4006,,"M. H. del Pilar Rizal St., M'lang, North Cotabato",
,,Moelci I (Electric Coop.),,(088) 271-3660,,"Magcamuiging Calamba, Misamis Occidental ",
,,Moelci II (Electric Coop.),,Tel:(088) 521 1461,,"Circumferential Road, Barangay Bitoon Ozamis City ",
,,Moresco II (Electric Coop.),,(088) 331-2407 Tel:(088) 331-2771,,"Tion St, North Poblacion, Medina, Misamis Oriental ",
,,Pelco II (Electric Coop.),,(045) 900-0611 Fax No.(045) 900-0534,," San Roque Guagua, Pampanga ",
,,Presco (Electric Coop.),,Tel:(045) 865-1243,,"Anao, Mexico, Pampanga ",
,,Samelco I (Electric Coop.),,(055) 209-8211,,"Brgy. Carayman Calbayog City, Samar",
,,Surneco (Electric Coop.),,(086) 826-2148,,"Espina Street, Surigao City ",
,,Surneco (Events),,Tel:(086) 826-2148 Fax:(086) 826-2148,," Espina Street, Surigao City ",
